No.,Jenis Perkara,Usia Penggugat,Usia Tergugat,Pendidikan Terakhir Penggugat,Pendidikan Terakhir Tergugat,Pekerjaan Penggugat,Pekerjaan tergugat,Usia Pernikahan,jumlah anak,Alasan Perceraian,Hasil putusan perkara,,,,,
423,CG,22,31,tdk,tdk,t.a,Petani,4,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
424,CG,42,46,tdk,tdk,t.a,Petani,28,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
425,CG,28,37,SMA,SD,t.a,Petani,10,1,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
426,CG,29,33,SD,SD,t.a,Buruh Kapal,10,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
427,CG,43,49,SMP,SMA,t.a,Bengkel Mobil,1,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
428,CG,46,59,SMP,SMP,t.a,Pensiunan,28,5,Meninggalkan Salah Satu Pihak,Cerai,,,,,
429,CT,27,26,SMA,SMA,Karyawan PT,t.a,4,0,Meninggalkan Salah Satu Pihak,Cerai,,,,,
430,CG,37,43,S1,S1,PNS,PNS,12,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
431,CG,22,26,SD,SMA,t.a,Karyawan PT,1,0,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
432,CG,39,50,SMP,SMA,Penjual Pakaian,Buruh Bangunan,22,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
433,CG,28,35,S1,SMA,Honorer,Buruh Harian,9,0,Meninggalkan Salah Satu Pihak,Cerai,,,,,
434,CT,52,44,S1,SMP,Karyawan PT,t.a,27,4,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
435,CG,20,25,SMA,SMP,Penjual Pakaian,t.a,3,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
436,CG,36,37,S1,SMP,Honorer,Buruh Harian,11,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
437,CG,38,41,SD,SMP,t.a,Pengelolah Gabah,8,1,KDRT,Cerai,,,,,
438,CG,34,42,SMA,SMA,Karyawan,Buruh Harian,11,2,Meninggalkan Salah Satu Pihak,Cerai,,,,,
439,CG,27,27,SMK,SMK,t.a,Karyawan,2,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
440,CG,38,37,SMA,SMA,Honorer,Anggota POLRES,7,2,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
441,CT,22,22,SMK,SMA,Security,t.a,3,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
442,CT,32,25,SMA,SMA,Karyawan PT,t.a,6,2,Meninggalkan Salah Satu Pihak,Cerai,,,,,
443,CG,25,27,S1,SMA,Honorer,Buruh Harian,2,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
444,CG,26,40,S1,D3,Karyawan PT,Pelayaran,2,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
445,CG,28,26,SMA,SMK,Penjual Makanan,t.a,8,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
446,CG,23,28,SMA,SMA,Karyawan PT,Karyawan PT,2,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
447,CG,33,34,SMA,SMA,t.a,Nelayan,13,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
448,CG,47,65,SMA,SMA,t.a,Pensiunan,18,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
449,CG,23,31,SD,SD,Penjahit Pakaian,t.a,7,2,Meninggalkan Salah Satu Pihak,Cerai,,,,,
450,CG,25,35,SMP,SMA,Karyawan Bank,Konter Pulsa,8,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
451,CT,29,26,S1,S2,Karyawan Toko,Dosen,4,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
452,CG,46,46,S1,SMA,Karyawan PT,Penjual Campuran,18,1,Judi,Cerai,,,,,
453,CT,19,20,SD,SMP,Supir,t.a,1,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
454,CG,31,36,SMA,SMP,t.a,Penjual Makanan,9,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
455,CT,40,37,SMA,SD,Karyawan PT,t.a,12,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
456,CG,46,44,SMA,SD,Penjual Barang Campuran,Tukang Becak,23,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
457,CG,20,32,SMA,SD,t.a,t.a,1,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
458,CG,29,39,SD,SMP,Karyawan,Buruh Harian,12,2,Ekonomi,Cerai,,,,,
459,CG,34,30,SMK,SMA,t.a,Karyawan PT,5,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
460,CG,26,31,SD,SMP,t.a,Petani,7,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
461,CG,29,39,SD,SD,t.a,Nelayan,6,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
462,CT,27,27,SMA,SMA,Pelayaran,t.a,10,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
463,CG,24,25,SMA,SMA,Karyawan,Karyawan,6,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
464,CG,33,34,SD,SD,Karyawan PT,Jual Beli Bambu,14,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
465,CG,37,43,SMA,SMA,t.a,Petani,14,5,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
466,CG,25,30,SMP,SMA,Karyawan PT,Karyawan SPBU,2,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
467,CG,21,22,SMP,SD,t.a,Penjual Ikan,2,1,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
468,CG,26,32,SMA,SMA,Penjual Pakaian,Petani,8,0,Meninggalkan Salah Satu Pihak,Cerai,,,,,
469,CG,34,37,SD,SD,t.a,Petani,3,0,Meninggalkan Salah Satu Pihak,Cerai,,,,,
470,CG,20,29,SMK,S1,t.a,t.a,2,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
471,CG,30,36,SMA,SD,Penjual Makanan,t.a,6,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
472,CT,30,26,SMA,SD,Petani,t.a,9,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
473,CG,31,37,S1,SMA,Honorer,Karyawan PLN,5,1,Mabuk,Cerai,,,,,
474,CG,26,29,S1,SMA,t.a,Penjual Kayu,4 Bulan,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
475,CT,32,24,SMA,SMA,Karyawan PT,t.a,8,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
476,CG,27,30,SMA,SD,t.a,Buruh Harian,8,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
477,CG,28,27,SMA,SMA,t.a,Tukang Bengkel Las,3,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
478,CG,20,21,SMA,SD,t.a,Nelayan,2,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
479,CG,43,63,tdk,tdk,t.a,Karyawan,16,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
480,CT,33,38,tdk,tdk,Nelayan,t.a,11,1,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
481,CT,31,33,D3,S1,Wiraswasta,t.a,9,2,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
482,CT,31,30,SMP,SD,Karyawan SPBU,t.a,11,1,Meninggalkan Salah Satu Pihak,Cerai,,,,,
483,CT,28,25,S1,SMA,Nelayan,t.a,3,1,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
484,CT,36,27,SD,SMA,Nelayan,t.a,9,4,Meninggalkan Salah Satu Pihak,Cerai,,,,,
485,CG,29,33,SMA,SD,Penjahit Pakaian,Petani,4,2,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
486,CG,28,25,SMA,SD,t.a,t.a,7,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
487,CG,38,40,SMP,SD,t.a,Petani,15,4,Meninggalkan Salah Satu Pihak,Cerai,,,,,
488,CG,51,54,SD,SD,t.a,Buruh Bangunan,19,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
489,CT,35,34,D3,S1,Karyawan PT,Honorer,6,0,Meninggalkan Salah Satu Pihak,Cerai,,,,,
490,CG,21,25,SMA,SMK,t.a,Penjual Buah,4,2,KDRT,Cerai,,,,,
491,CG,29,33,SD,SD,t.a,Petani Empang,11,2,Meninggalkan Salah Satu Pihak,Cerai,,,,,
492,CG,26,29,SD,SD,t.a,Honorer,8,1,Meninggalkan Salah Satu Pihak,Cerai,,,,,
493,CG,24,34,S1,S1,Honorer,t.a,6,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
494,CG,18,31,SMP,SD,t.a,Petani,1,0,Mabuk,Cerai,,,,,
495,CG,30,30,SMP,SMP,t.a,t.a,7,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
496,CT,58,56,SMA,SD,Buruh Bangunan,t.a,33,5,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
497,CG,22,28,SMA,SMA,t.a,t.a,1,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
498,CG,29,41,SMA,SD,t.a,t.a,5,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
499,CT,32,36,SD,SMA,Buruh Harian,t.a,4,1,Meninggalkan Salah Satu Pihak,Cerai,,,,,
500,CG,21,22,SMP,SD,t.a,Penjual Ikan,2,1,Meninggalkan Salah Satu Pihak,Cerai,,,,,
501,CT,26,27,SMA,SMA,Buruh Harian,Karyawan Mall,2,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
502,CT,32,28,SMA,SMP,Honorer,t.a,9,4,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
503,CG,49,32,SD,SD,t.a,Supir,12,0,Meninggalkan Salah Satu Pihak,Cerai,,,,,
504,CT,23,20,SMA,SMA,Karyawan PT,t.a,8 Bulan,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
505,CT,34,30,SMA,SMP,Petani,t.a,10,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
506,CG,26,24,SMP,SMP,Karyawan,Buruh Harian,4,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
507,CG,48,50,SMA,SMA,t.a,t.a,26,3,Meninggalkan Salah Satu Pihak,Cerai,,,,,
508,CG,30,35,SMP,SMA,t.a,Petani,10,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
509,CG,22,31,SMA,SMA,Karyawan Mall,Karyawan Mall,1,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
510,CG,28,33,tdk,tdk,t.a,Petani,10,0,Meninggalkan Salah Satu Pihak,Cerai,,,,,
511,CT,52,48,SMA,SMA,Security,t.a,20,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
512,CG,26,32,SD,SD,Karyawan Rumah Makan,Buruh Harian,4,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
513,CT,29,26,SMA,SMA,Petani,t.a,3,1,Meninggalkan Salah Satu Pihak,Cerai,,,,,
514,CG,45,59,SD,t.a,t.a,Wiraswasta,19,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
515,CG,44,48,S1,SMA,Honorer,Tukang Bengkel Las,24,2,Poligami,Tidak Cerai,,,,,
516,CT,34,30,SD,SD,Nelayan,t.a,9,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
517,CG,31,30,SMP,SD,t.a,Nelayan,13,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
518,CG,45,47,SMP,SD,Penjual Makanan,Petani,27,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
519,CG,24,35,SMP,SD,Karyawan Toko,Buruh Harian,7,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
520,CG,52,52,S1,SMA,PNS,Buruh Harian,28,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
521,CT,45,36,SD,SD,Buruh Harian,t.a,15,2,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
522,CT,23,28,SMA,SMA,Buruh Bangunan,t.a,2,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
523,CG,21,25,SMP,SMP,t.a,Supir,4,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
524,CG,25,25,SMP,SMA,t.a,Buruh Bangunan,7,1,Meninggalkan Salah Satu Pihak,Cerai,,,,,
525,CG,28,32,SMP,SMP,t.a,Buruh Bangunan,9,1,Meninggalkan Salah Satu Pihak,Cerai,,,,,
526,CG,28,32,SMP,SMP,t.a,Buruh Bangunan,9,1,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
527,CG,35,43,SD,SMP,t.a,Karyawan,18,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
528,CG,26,33,SMP,SMP,Karyawan,Nelayan,10,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
529,CG,19,26,SMP,SMP,t.a,Buruh Harian,1,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
530,CG,26,34,SMA,SMA,Karyawan,Karyawan,2,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
531,CG,23,32,SMA,SMA,t.a,Karyawan PT,2,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
532,CG,21,27,tdk,tdk,Karyawan,Karyawan,1,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
533,CT,53,53,S1,SMA,PNS,PNS,30,4,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
534,CT,35,30,tdk,tdk,Wiraswasta,t.a,6,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
535,CG,37,50,SMA,SMA,Honorer,Pengelolah Pabrik Padi,22,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
536,CG,34,38,SMA,S1,t.a,t.a,9,2,Meninggalkan Salah Satu Pihak,Cerai,,,,,
537,CT,33,31,S1,S1,Pegawai BUMN,t.a,3,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
538,CG,28,29,SMP,SMA,t.a,Buruh Harian,9,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
539,CG,38,54,S1,S1,t.a,Kontraktor,4,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
540,CT,46,36,SMA,SMP,Karyawan PT,t.a,18,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
541,CG,41,31,SMA,SD,t.a,Supir,9,1,Meninggalkan Salah Satu Pihak,Cerai,,,,,
542,CT,37,29,SMP,D3,Tukang Las Keliling,t.a,8,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
543,CT,25,23,SMK,SMA,Karyawan PT,t.a,2,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
544,CG,23,28,SD,SMP,t.a,Buruh Bangunan,8,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
545,CG,20,25,SMP,SMP,Karyawan Gedung,t.a,3,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
546,CG,29,29,SMA,SMA,t.a,Karyawan PT,5,1,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
547,CG,29,38,SD,SMA,t.a,Buruh Harian,10,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
548,CT,35,26,SMP,S1,Petani,t.a,3,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
549,CT,26,26,S1,SMA,Honorer,Karyawan,4,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
550,CG,35,39,S1,S1,PNS,PNS,12,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
551,CG,28,24,S1,S1,Honorer,Karyawan,4 Bulan,0,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
552,CT,26,28,SD,SD,Petani,Karyawan Toko,3,0,Meninggalkan Salah Satu Pihak,Cerai,,,,,
553,CG,25,32,SMA,SMA,Tata Rias Pengantin,Buruh Harian,7,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
554,CG,35,31,SLTP,SLTP,t.a,Supir,8,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
555,CT,26,20,tdk,tdk,Wiraswasta,t.a,6 Bulan,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
556,CG,24,26,SMK,SMA,t.a,Grab Online,2,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
557,CG,21,36,SMP,SD,Karyawan Toko,t.a,3,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
558,CG,26,27,SMP,SMK,t.a,Supir,9,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
559,CG,26,36,SMA,SMA,t.a,t.a,3,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
560,CG,46,41,SD,SMA,Penjahit Kain,Guru Mengaji,11,2,Meninggalkan Salah Satu Pihak,Cerai,,,,,
561,CG,29,30,SMA,SMA,t.a,Supir,6,0,Meninggalkan Salah Satu Pihak,Cerai,,,,,
562,CT,30,32,SD,SD,Petani,t.a,7,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
563,CT,31,24,SMA,SMA,Karyawan PT,t.a,3,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
564,CT,36,25,SMA,SMA,Penjual Alat Olah raga,Penjual Makanan,6,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
565,CG,48,54,tdk,tdk,t.a,PNS,9,0,Meninggalkan Salah Satu Pihak,Cerai,,,,,
566,CG,29,31,SMP,SD,t.a,Buruh Harian,7,1,Meninggalkan Salah Satu Pihak,Cerai,,,,,
567,CG,24,34,S1,SMP,t.a,Pelayaran,2,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
568,CT,43,43,SD,SD,Petani,t.a,23,5,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
569,CG,17,24,SD,SMA,t.a,t.a,2,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
570,CG,22,22,SMA,SMP,Penjual Makanan,t.a,2,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
571,CT,38,33,SMA,SMA,Tukang Service AC,t.a,11,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
572,CG,22,21,SMA,SMA,BabySister,t.a,2,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
573,CG,28,29,SD,SD,Karyawan Toko,Supir,4,0,KDRT,Tidak Cerai,,,,,
574,CG,22,41,SMA,SMP,t.a,t.a,4,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
575,CG,19,21,SD,SD,t.a,Buruh Harian,4,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
576,CG,24,35,SMA,SMA,t.a,Buruh Harian,4,2,Ekonomi,Cerai,,,,,
577,CG,23,26,SMP,SMP,Karyawan Toko Roti,Buruh Dekorasi Pelaminan,4,0,Meninggalkan Salah Satu Pihak,Cerai,,,,,
578,CG,33,30,SD,SD,Karyawan Toko Roti,Supir,7,0,Meninggalkan Salah Satu Pihak,Cerai,,,,,
579,CG,38,39,SD,SD,t.a,Nelayan,15,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
580,CG,24,30,SMK,SD,t.a,Buruh Bangunan,5,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
581,CT,29,29,SMA,S1,t.a,Honorer,4 Bulan,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
582,CG,27,38,SMK,SMA,t.a,Pemilik Toko,6 Bulan,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
583,CT,48,42,SMA,SMA,Supir,t.a,19,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
584,CG,32,33,S1,SMA,Honorer,TNI,8,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
585,CG,27,31,SMA,SMA,t.a,Karyawan PT,8,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
586,CT,32,35,SD,SD,Petani,t.a,10,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
587,CG,44,47,SD,SMA,t.a,t.a,2,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
588,CG,42,36,SMA,SMA,t.a,Buruh Harian,4,0,Meninggalkan Salah Satu Pihak,Cerai,,,,,
589,CG,24,33,SMP,SMA,Penjual Pakaian,Karyawan PT,4,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
590,CG,33,34,S1,S1,Honorer,Karyawan,8,1,Meninggalkan Salah Satu Pihak,Cerai,,,,,
591,CG,52,49,SD,SD,t.a,Petani,34,0,Mabuk,Cerai,,,,,
592,CT,24,20,SD,SD,Buruh Bangunan,t.a,2,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
593,CG,28,30,S1,S1,PNS,Polri,2,0,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
594,CG,27,30,SMK,S1,Karyawan,t.a,7 Bulan,1,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
595,CG,29,33,SMP,SMP,Karyawan Toko Roti,Karyawan PT,7,1,Meninggalkan Salah Satu Pihak,Cerai,,,,,
596,CG,29,29,SMA,SMA,t.a,Buruh Harian,4,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
597,CG,33,44,SD,SD,t.a,Petani Empang,6,0,Meninggalkan Salah Satu Pihak,Cerai,,,,,
598,CT,47,45,SD,SD,Petani,t.a,25,4,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
599,CG,34,36,SD,SD,t.a,Petani,12,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
600,CG,21,24,SD,SMA,t.a,t.a,5,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
601,CG,47,52,SMP,SMA,t.a,Buruh Harian,28,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
602,CG,34,36,SMP,SMP,t.a,Supir,17,2,Meninggalkan Salah Satu Pihak,Cerai,,,,,
603,CG,23,43,SMP,SMA,t.a,Buruh Bangunan,8,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
604,CG,34,39,SMA,SD,t.a,Supir,11,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
605,CG,45,48,S1,S1,Photografer,Honorer,23,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
606,CT,23,27,SMP,SMP,Supir,,2,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
607,CG,27,39,SMA,SMA,t.a,Penjual Bakso,7,1,Meninggalkan Salah Satu Pihak,Cerai,,,,,
608,CG,21,29,SMA,SMA,Penjual Barang Campuran,t.a,1,1,Meninggalkan Salah Satu Pihak,Cerai,,,,,
609,CT,50,41,SMA,SMP,Buruh Harian,t.a,14,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
610,CT,48,46,SMP,SMP,Karyawan PT,t.a,27,2,Meninggalkan Salah Satu Pihak,Cerai,,,,,
611,CG,29,36,S1,SD,Honorer,Buruh Harian,14,2,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
612,CG,28,31,SMK,SMK,Karyawan Mall,Karyawan PT,7,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
613,CT,47,33,S1,SMA,Pemilik Toko Service Handphone,t.a,11,6,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
614,CG,21,25,SMP,SMP,Jualan Online,Buruh Harian,6,1,Meninggalkan Salah Satu Pihak,Cerai,,,,,
615,CG,29,39,SD,SD,t.a,Buruh Harian,5,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
616,CG,38,44,SMA,SMA,Karyawan PT,Petani,18,0,Meninggalkan Salah Satu Pihak,Cerai,,,,,
617,CG,43,56,SMA,SMP,t.a,Penjual Barang Campuran,16,2,Mabuk,Tidak Cerai,,,,,
618,CG,22,22,SMA,SMP,t.a,Buruh Harian,4,1,Meninggalkan Salah Satu Pihak,Cerai,,,,,
619,CT,39,25,SD,t.a,Nelayan,t.a,5,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
620,CT,23,22,SMA,SMA,Petani,t.a,8 Bulan,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
621,CG,45,52,SMP,t.a,t.a,Wiraswasta,1,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
622,CG,33,50,SD,SMA,t.a,Security,12,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
623,CG,22,25,SMA,SMA,t.a,Penjual Bassang,3,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
624,CG,36,38,SMA,SMP,t.a,Petani,13,1,Meninggalkan Salah Satu Pihak,Cerai,,,,,
625,CG,30,35,SD,SD,Karyawan PT,Supir,11,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
626,CG,30,32,SLTP,SLTA,Karyawan,t.a,6,2,Judi,Tidak Cerai,,,,,
627,CG,29,37,SMA,SMA,Honorer,Karyawan Hotel,2,0,Meninggalkan Salah Satu Pihak,Cerai,,,,,
628,CG,25,33,SD,S1,t.a,Supir,3,0,Meninggalkan Salah Satu Pihak,Cerai,,,,,
629,CT,46,43,SMA,SMA,t.a,t.a,21,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
630,CG,30,27,SMA,SMA,Karyawan PT,Buruh Harian,8,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
631,CG,34,40,S1,SD,Kader Posyandu,Petani,18,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
632,CG,30,32,SLTP,SLTA,Karyawan,t.a,6,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
633,CG,21,22,SMP,SD,t.a,t.a,2,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
634,CG,32,32,S1,SMA,Honorer,t.a,13,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
635,CG,20,34,SMP,SD,t.a,Petani,2,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
636,CG,33,48,S1,SMA,Penjaga Perpustakaan,Anak Buah Kapal,7,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
637,CG,28,33,S1,S1,Honorer,Honorer,9,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
