No.,Jenis Perkara,Usia Penggugat,Usia Tergugat,Pendidikan Terakhir Penggugat,Pendidikan Terakhir Tergugat,Pekerjaan Penggugat,Pekerjaan tergugat,Usia Pernikahan,jumlah anak,Alasan Perceraian,Hasil putusan perkara,,,,,
64,CT,35,37,S1,S2,Honorer,Guru,6,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
65,CG,26,29,SMA,S1,Karyawan,Karyawan,9,2,Meninggalkan Salah Satu Pihak,Cerai,,,,,
66,CT,38,28,tdk,tdk,Dosen,Honorer,1,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
67,CG,29,31,SD,SMP,Cleaning Service,Karyawan,11,2,Poligami,Cerai,,,,,
68,CG,25,34,SD,SD,Karyawan,Buruh Bangunan,6,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
69,CG,23,30,SMP,SD,t.a,Buruh,5,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
70,CG,23,26,SMA,SMA,t.a,Penjual,2,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
71,CG,26,28,SMA,SD,t.a,Penjual,4,0,Meninggalkan Salah Satu Pihak,Cerai,,,,,
72,CG,47,52,SMA,SMA,Karyawan,t.a,23,2,Poligami,Cerai,,,,,
73,CG,20,24,SD,t.a,t.a,Petani,3,1,Ekonomi,Cerai,,,,,
74,CG,24,25,SMP,SMK,t.a,Supir,6,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
75,CT,35,35,S1,D3,Karyawan,PNS,4,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
76,CG,22,25,SMA,SMA,t.a,t.a,5,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
77,CG,47,51,SMK,SMA,Penjahit,t.a,24,3,Mabuk,Cerai,,,,,
78,CG,29,42,SMA,SMA,t.a,Penjual,10,1,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai,,,,,
79,CT,31,37,SD,SD,Buruh Harian,t.a,10,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai,,,,,
80,CG,42,46,tdk,tdk,t.a,Petani,28,2,KDRT,Tidak Cerai,,,,,
81,CG,26,34,S1,S1,Honorer,t.a,1,0,Meninggalkan Salah Satu Pihak,Cerai,,,,,
