No.,Jenis Perkara,Usia Penggugat,Usia Tergugat,Pendidikan Terakhir Penggugat,Pendidikan Terakhir Tergugat,Pekerjaan Penggugat,Pekerjaan tergugat,Usia Pernikahan,jumlah anak,Alasan Perceraian,Hasil putusan perkara
3707,CG,27,33,S1,SMA,t.a,t.a,4,1,Perselisihan dan pertengkaran terus menerus,Cerai
3708,CG,30,30,S1,SMK,Honorer,Karyawan,6,1,Perselisihan dan pertengkaran terus menerus,Tidak Cerai
3709,CT,46,45,SMA,S1,Buruh Harian,Honorer,25,4,Poligami,Cerai
3710,CG,39,38,SD,SD,t.a,Petani Tambak,9,0,Meninggalkan Salah Satu Pihak,Cerai
3711,CG,22,27,SMP,SD,Karyawan,Buruh Harian,6,1,Perselisihan dan pertengkaran terus menerus,Cerai
3712,CG,29,36,SMK,SMA,t.a,Karyawan,9,2,Meninggalkan Salah Satu Pihak,Cerai
3713,CG,20,22,SMA,SD,t.a,Petani,3,1,Perselisihan dan pertengkaran terus menerus,Cerai
3714,CG,40,42,SMP,SMP,Penjual,Penjual,15,2,Perselisihan dan pertengkaran terus menerus,Cerai
3715,CT,33,34,SD,SMP,t.a,t.a,12,0,Meninggalkan Salah Satu Pihak,Cerai
3716,CT,25,25,SMK,SMA,Karyawan,Pedagang Pakaian Online,2,1,Perselisihan dan pertengkaran terus menerus,Cerai
3717,CG,26,28,SMK,SD,t.a,Pedagang,6,0,Meninggalkan Salah Satu Pihak,Cerai
3718,CT,27,22,SMP,SMP,Pengrajin Aquarium,t.a,6,1,Meninggalkan Salah Satu Pihak,Cerai
3719,CT,30,30,SMA,t.a,Wiraswasta,t.a,9,2,Perselisihan dan pertengkaran terus menerus,Cerai
3720,CG,22,37,SMA,SD,Karyawan,Buruh Bangunan,3,0,Meninggalkan Salah Satu Pihak,Cerai
3721,CG,22,24,SMA,SMP,t.a,Petani,5,1,Perselisihan dan pertengkaran terus menerus,Cerai
3722,CG,18,23,SMP,SMA,t.a,t.a,1,0,Meninggalkan Salah Satu Pihak,Cerai
3723,CG,45,43,SMA,SMA,t.a,Karyawan,22,1,Perselisihan dan pertengkaran terus menerus,Cerai
3724,CG,52,50,SMP,SMA,t.a,Petani,24,2,Meninggalkan Salah Satu Pihak,Cerai
3725,CG,33,39,S1,S1,t.a,Petani,10,0,Perselisihan dan pertengkaran terus menerus,Cerai
3726,CG,22,65,SMP,SMA,t.a,t.a,3,1,Perselisihan dan pertengkaran terus menerus,Cerai
3727,CT,27,24,SMA,SMP,Supir,t.a,4,1,Perselisihan dan pertengkaran terus menerus,Cerai
3728,CT,41,32,SD,SD,Penjual Pakaian,t.a,13,0,Perselisihan dan pertengkaran terus menerus,Tidak Cerai
3729,CG,28,31,SMA,SMA,Penjual Makanan,Buruh Harian,10,1,Perselisihan dan pertengkaran terus menerus,Cerai
3730,CT,28,23,SMA,SD,Karyawan,t.a,4,2,Meninggalkan Salah Satu Pihak,Cerai
3731,CT,38,38,S1,SMA,Karyawan,t.a,3,1,Perselisihan dan pertengkaran terus menerus,Cerai
3732,CG,40,40,S1,SMA,t.a,Kepala Dusun,18,3,Meninggalkan Salah Satu Pihak,Cerai
3733,CT,33,33,SMK,S1,TNI,t.a,9,1,Meninggalkan Salah Satu Pihak,Cerai
3734,CT,30,28,SMA,SMA,Wiraswasta,Wiraswasta,1,0,Perselisihan dan pertengkaran terus menerus,Cerai
3735,CT,56,37,SD,SD,Petani Tambak,t.a,5,1,Madat,Cerai
3736,CG,34,41,SMA,SMA,Karyawan,Supir,15,1,Perselisihan dan pertengkaran terus menerus,Cerai
3737,CG,22,37,SMA,SMA,Karyawan Toko,t.a,7,0,Meninggalkan Salah Satu Pihak,Cerai
3738,CG,50,47,SMA,SMP,t.a,t.a,5,0,Perselisihan dan pertengkaran terus menerus,Cerai
3739,CG,25,27,t.a,t.a,t.a,t.a,4,0,Meninggalkan Salah Satu Pihak,Cerai
3740,CG,24,29,SMA,SD,Kader Posyandu,t.a,6,0,Meninggalkan Salah Satu Pihak,Cerai
3741,CG,32,33,SMA,SMA,t.a,Karyawan Bandara,13,2,Meninggalkan Salah Satu Pihak,Cerai
3742,CT,37,30,SMA,SMA,Karyawan PT,t.a,4,1,Meninggalkan Salah Satu Pihak,Cerai
3743,CG,21,26,SMA,SMK,t.a,t.a,3,0,Perselisihan dan pertengkaran terus menerus,Cerai
3744,CT,32,25,SLTA,SMU,Karyawan,t.a,8,1,Perselisihan dan pertengkaran terus menerus,Cerai
3745,CG,35,36,SLTA,S1,Karyawan,t.a,4,0,Perselisihan dan pertengkaran terus menerus,Cerai
3746,CT,38,26,SMA,SMP,Honorer,t.a,6,2,Perselisihan dan pertengkaran terus menerus,Tidak Cerai
3747,CG,49,43,SD,SMP,t.a,Supir,30,3,Meninggalkan Salah Satu Pihak,Cerai
3748,CG,39,50,SMA,SMA,Karyawan,Karyawan,5,0,Perselisihan dan pertengkaran terus menerus,Cerai
3749,CG,28,30,SMP,SMP,t.a,Supir,11,2,Perselisihan dan pertengkaran terus menerus,Cerai
3750,CG,44,53,SMU,SMA,Honorer,t.a,21,3,Meninggalkan Salah Satu Pihak,Cerai
3751,CG,28,47,SMA,SD,t.a,Petani,9,0,Meninggalkan Salah Satu Pihak,Cerai
3752,CG,23,39,SMP,SMA,Karyawan Toko,Karyawan PLN,6,1,Perselisihan dan pertengkaran terus menerus,Cerai
3753,CG,47,55,SMP,SMA,Penjual Pakaian,Supir,30,3,Meninggalkan Salah Satu Pihak,Cerai
3754,CG,40,42,SD,SD,t.a,Jual Beli Minyak,17,2,Meninggalkan Salah Satu Pihak,Cerai
3755,CT,38,31,SMA,SMP,Karyawan PT,t.a,10,2,Ekonomi,Cerai
3756,CT,51,46,SD,SMP,t.a,t.a,26,4,Perselisihan dan pertengkaran terus menerus,Tidak Cerai
3757,CT,32,26,S1,SMA,Karyawan,t.a,2,1,Perselisihan dan pertengkaran terus menerus,Cerai
3758,CG,30,38,SD,SD,t.a,Buruh Harian,8,1,Perselisihan dan pertengkaran terus menerus,Cerai
3759,CG,30,37,SMK,SMA,t.a,Konsultan,10,1,Meninggalkan Salah Satu Pihak,Cerai
3760,CG,28,30,SMA,SMA,t.a,Buruh Harian,12,2,Perselisihan dan pertengkaran terus menerus,Cerai
3761,CG,46,47,SLTA,SLTA,Jualan Online,Supir Pribadi,5,1,Perselisihan dan pertengkaran terus menerus,Cerai
3762,CG,44,52,SD,SD,t.a,Petani,31,3,Perselisihan dan pertengkaran terus menerus,Cerai
3763,CG,29,32,SMP,SD,t.a,Karyawan,11,2,Perselisihan dan pertengkaran terus menerus,Cerai
3764,CT,47,39,SD,SMA,Petani Tambak,t.a,12,2,Perselisihan dan pertengkaran terus menerus,Cerai
3765,CG,23,23,SMP,SMA,t.a,Sales,4,1,Meninggalkan Salah Satu Pihak,Cerai
3766,CT,32,30,S1,D3,Karyawan,t.a,9,1,Perselisihan dan pertengkaran terus menerus,Tidak Cerai
3767,CG,51,54,SD,SD,t.a,Buruh Bangunan,32,3,Meninggalkan Salah Satu Pihak,Cerai
