No.,Jenis Perkara,Usia Penggugat,Usia Tergugat,Pendidikan Terakhir Penggugat,Pendidikan Terakhir Tergugat,Pekerjaan Penggugat,Pekerjaan tergugat,Usia Pernikahan,jumlah anak,Alasan Perceraian,Hasil putusan perkara
1089,CG,18,26,SMA,SD,t.a,Pengusaha Batu Nisan,3,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1090,CG,35,34,SMA,SD,Security,t.a,7,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1091,CG,21,21,SMA,SMA,t.a,t.a,2,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1092,CT,55,38,S1,S1,Kontraktor CV,PNS,1,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1093,CG,23,35,SMA,SMP,Karyawan,t.a,6,0,Kawin Paksa,Cerai
1094,CG,28,34,SMP,SMP,Karyawan PT,t.a,3,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1095,CG,28,42,SMP,SMP,Karyawan,Petani,6,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1096,CG,38,43,SMP,SMA,Karyawan CV,Penjual Barang Campuran,19,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1097,CT,30,28,SMA,SMP,Pengusaha Bengkel,t.a,6,1,Ekonomi,Cerai
1098,CT,39,39,t.a,t.a,Karyawan,t.a,18,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1099,CT,34,31,SMA,SMA,Security,t.a,11,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1100,CG,24,39,SLTA,S1,t.a,PNS,7,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1101,CG,24,26,SD,SLTA,Buruh Bangunan,t.a,4,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1102,CT,25,19,S1,SMA,Tenaga Kontrak,t.a,1,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1103,CT,26,30,SLTA,SD,Karyawan PT,t.a,8,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1104,CG,26,26,SD,SLTA,t.a,Karyawan Mall,6,1,Ekonomi,Cerai
1105,CG,29,34,SLTA,SLTA,t.a,PNS,6,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1106,CG,40,51,SLTA,SLTA,Karyawan PT,Supir Taxi,8,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1107,CG,20,23,SD,SLTA,ART,t.a,2,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1108,CG,26,30,SD,SD,Penjual Pakaian,Petani,8,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1109,CG,26,31,S1SLTA,t.a,Karyawan,4,1,,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1110,CG,41,47,S1,S1,PNS,PNS,20,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1111,CG,28,32,SLTA,SLTA,Karyawan PT,t.a,7,2,Ekonomi,Cerai
1112,CG,36,37,SD,SD,t.a,t.a,7,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1113,CG,28,34,SD,SD,t.a,Petani,12,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1114,CG,22,26,SLTA,SLTA,t.a,t.a,1,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1115,CG,22,37,SD,SD,Penjual Barang Campuran,Penjual Daging,6,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1116,CG,39,43,SLTA,SLTA,Penjual Pakaian,t.a,9,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1117,CG,20,27,SLTA,SD,t.a,Buruh Bangunan,5,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1118,CG,48,42,SD,SMP,t.a,Karyawan PT,23,2,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai
1119,CG,22,54,SLTA,S1,t.a,Pengusaha Kedai,6,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1120,CG,29,32,SLTA,SLTA,Karyawan PT,Pengusaha Fotocopy,3,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1121,CG,30,34,SLTP,SD,t.a,t.a,6,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1122,CG,48,44,SD,SLTA,t.a,Juru Parkir,24,3,Mabuk,Cerai
1123,CG,41,47,SLTP,SD,t.a,Petani,16,1,KDRT,Cerai
1124,CG,44,54,SLTA,SD,t.a,Petani Tambak,2,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1125,CG,23,31,SLTA,SLTP,t.a,Penjual Daging,4,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1126,CG,38,50,SLTP,S1,t.a,PNS,23,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1127,CG,28,31,SLTA,SLTA,t.a,Karyawan PT,11,2,Ekonomi,Cerai
1128,CG,31,33,SD,SD,Karyawan CV,Nelayan,8,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1129,CG,29,27,SLTP,SLTP,t.a,t.a,8,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1130,CG,34,38,SLTA,SLTA,Karyawan PT,Pelaut,7,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1131,CG,32,35,SLTP,SD,Karyawan,Penjual Beras,2,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1132,CG,24,36,SLTA,SLTA,Penjual Kue,Karyawan,8,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1133,CG,47,51,S1,S1,t.a,LSM,22,4,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai
1134,CT,29,26,SLTA,SD,Interiror Flapon,t.a,8,2,Ekonomi,Cerai
1135,CT,27,22,SLTP,SLTP,Penjual Ikan,t.a,6,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1136,CG,25,41,SLTA,SD,Honorer,Tukang Ojek,5,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1137,CT,41,30,SLTP,SD,Pengusaha Pangkas Rambut,Karyawan Toko Roti,4,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1138,CG,27,26,SLTA,SLTA,t.a,Karyawan Hotel,7,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1139,CG,40,44,SMA,SMA,t.a,PNS,17,4,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1140,CG,22,32,t.a,SMA,t.a,t.a,5,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1141,CG,23,27,SD,SLTP,Karyawan PT,t.a,7,0,Mabuk,Cerai
1142,CG,32,38,SD,SLTP,t.a,Supir,15,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1143,CT,57,47,SMA,SMP,Pengusaha Bahan Bangunan,t.a,28,4,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1144,CG,46,48,SMP,SD,t.a,Petani,27,4,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1145,CG,32,35,SD,SD,Penjual Sayur,Karyawan,9,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1146,CT,55,52,S1,SD,Honorer,t.a,30,6,Meninggalkan Salah Satu Pihak,Cerai
1147,CG,43,48,SLTP,SD,Penjual Barang Campuran,Petani,26,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1148,CG,29,33,t.a,t.a,t.a,Wartawan,1 Bulan,0,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai
1149,CG,42,43,SD,SD,t.a,Supir,22,3,Ekonomi,Cerai
1150,CG,54,65,SMP,SMA,Bisnis Online Shop,Bisnis Online Shop,12,0,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai
1151,CG,26,34,S1,S1,t.a,Karyawan Bank,1,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1152,CT,45,46,SD,SD,Penjual Ayam,t.a,27,1,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai
1153,CG,26,28,SD,t.a,Karyawan Toko,t.a,4,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1154,CT,34,34,SLTA,SLTA,Karyawan PT,Penjual Pakaian,4,0,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai
1155,CG,30,37,SLTA,SD,t.a,t.a,10,1,Meninggalkan Salah Satu Pihak,Cerai
1156,CG,35,31,SD,SD,t.a,Petani Tambak,10,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1157,CT,20,18,SLTA,SLTP,Pengusaha Padi,Karyawan,2 Bulan,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1158,CG,26,29,SLTP,SD,Karyawan PT,Buruh Bangunan,7,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1159,CG,36,51,SD,SLTP,ART,t.a,13,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1160,CG,32,37,SLTA,SD,Kontraktor PT,t.a,9,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1161,CG,22,24,SLTA,SD,Karyawan,Honorer,2,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1162,CT,34,34,SLTA,SLTA,Karyawan PT,Pegawai Kontrak PLN,11,2,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai
1163,CG,51,49,S1,SLTA,t.a,t.a,25,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1164,CG,23,24,SLTA,SLTA,t.a,Nelayan,6,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1165,CG,18,28,SLTA,S1,t.a,t.a,2,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1166,CG,37,49,SLTP,SLTA,t.a,Service Elektronik,5,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1167,CG,28,2018,1983,SD,SLTA,t.a,9,1,Meninggalkan Salah Satu Pihak,Cerai
1168, CG,46,48,SLTA,S1,Karyawan PT,t.a,17,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1169,CG,29,29,SMA,SMA,Bisnis Online Shop,POLRI,5,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1170,CG,30,29,D3,D3,Karyawan,t.a,1,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1171,CT,33,33,SLTA,SD,Tukang Las,Karyawan Toko,8,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1172,CG,30,34,S2,SLTA,Dosen,Karyawan CV,10,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1173,CG,37,28,SLTP,SLTA,t.a,t.a,2,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1174,CG,39,34,SLTP,SLTA,t.a,t.a,6,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1175,CT,38,35,S1,S1,t.a,PNS,10,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1176,CG,38,42,S1,SMA,PNS,PNS,4,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1177,CT,36,28,SMA,SMA,t.a,t.a,5,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1178,CG,24,33,SMA,SD,Karyawan PT,Karyawan PT,4,0,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai
1179,CG,36,42,S1,SMA,t.a,POLRI,18,4,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1180,CG,27,29,SMK,SMP,t.a,Security,5,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1181,CG,30,33,SD,SD,t.a,Nelayan,6,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1182,CG,35,32,SMK,SMP,t.a,Supir,3,1,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai
1183,CT,30,28,SMP,SD,Wiraswasta,t.a,5,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1184,CT,45,44,SLTA,SLTA,Buruh Bangunan,t.a,17,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1185,CG,20,26,SMA,SMA,Karyawan,Supir,2,0,Kawin Paksa,Cerai
1186,CT,40,31,SD,SD,Petani,t.a,19,2,Meninggalkan Salah Satu Pihak,Cerai
1187,CG,24,44,SMA,SMA,Pramuniaga,Security,3,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1188,CG,44,35,SD,SMP,Karyawan PT,Tukang Ojek,7,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1189,CG,38,38,SD,SLTP,t.a,Nelayan,17,4,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1190,CG,38,39,S1,SMA,PNS,Petani,12,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1191,CT,28,25,SMA,SD,Karyawan,t.a,2,0,Ekonomi,Cerai
1192,CG,48,53,SD,SLTP,t.a,Pegawai Kontrak BMG,31,6,Ekonomi,Cerai
1193,CT,25,35,SLTA,SLTA,Honorer,Honorer,14,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1194,CG,27,30,SLTP,SD,t.a,Buruh Bangunan,6,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1195,CG,50,61,SLTA,SLTA,Tukang Jahit,Makelar,28,8,Ekonomi,Cerai
1196,CT,25,21,SD,SLTA,Karyawan PT,t.a,3,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1197,CG,19,23,SLTA,SLTP,t.a,t.a,1,0,Kawin Paksa,Cerai
1198,CT,32,35,SMA,SMA,Security,PNS,6,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1199,CG,32,34,SMA,SMP,t.a,Karyawan Toko,4,0,Ekonomi,Cerai
1200,CG,40,48,SLTP,SD,t.a,Supir,22,1,Mabuk,Cerai
1201,CG,38,53,SD,SMA,Pedagang,Supir,14,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1202,CG,26,28,SMP,SMA,t.a,Petani,8,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1203,CG,31,40,SMA,D3,t.a,PNS,3,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1204,CG,48,44,Sd,SMA,t.a,Petani,24,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1205,CG,49,58,SMA,SMA,Agen Asuransi,Pensiunan,30,5,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1206,CG,28,36,SD,SLTA,t.a,Supir,9,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1207,CG,20,21,SLTA,SD,Karyawan Toko,Buruh Bangunan,1,0,Kawin Paksa,Cerai
1208,CG,37,31,SLTA,SLTA,Karyawan PT,Karyawan PT,3,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1209,CG,23,33,SMA,SMA,t.a,t.a,6,1,Meninggalkan Salah Satu Pihak,Cerai
1210,CG,22,43,SD,SD,t.a,Petani Tambak,4,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1211,CG,19,28,SMA,SMA,Wiraswasta,Karyawan,2,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1212,CG,29,30,SMA,SMA,Wiraswasta,Karyawan,10,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1213,CG,20,38,SMA,SD,Karyawan PT,Service Elektronik,1,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1214,CT,49,54,S2,S1,Karyawan,Wiraswasta,23,2,Meninggalkan Salah Satu Pihak,Cerai
1215,CG,28,31,SMA,SMA,t.a,Karyawan PT,8,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1216,CT,35,45,SMA,SD,Wiraswasta,Wiraswasta,3 Bulan,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1217,CT,30,21,SMA,SMP,Karyawan,t.a,2,0,Kawin Paksa,Cerai
1218,CG,22,24,SMA,SMA,t.a,Buruh Harian,3,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1219,CG,25,26,SMA,SMA,Karyawan PT,t.a,5,1,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai
1220,CG,21,24,SMA,SD,t.a,t.a,4,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1221,CG,23,23,SMA,SMK,t.a,Buruh Harian,4,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1222,CG,26,24,D3,SMP,Honorer,Karyawan PT,5,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1223,CG,30,30,SMA,SMP,t.a,Tukang Batu,4,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1224,CG,34,36,SMP,SMA,t.a,t.a,14,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1225,CG,47,38,S1,SD,PNS,Peternak Ayam,6,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1226,CG,23,26,SD,SMA,t.a,Karyawan Toko,5,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1227,CG,34,47,t.a,SD,t.a,Petani,21,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1228,CT,27,28,SMA,SMA,Honorer,t.a,2,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1229,CT,30,25,SMA,SMA,Cleaning Service,t.a,6,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1230,CG,24,34,SMP,SD,t.a,Buruh Bangunan,6,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1231,CG,31,34,SMA,SMA,Karyawan,Pemilik Mesin FC,8,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1232,CT,35,26,D3,SMA,Pelaut,Penjual Barang Campuran,5,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1233,CG,39,38,D2,SMA,Tukang Jahit,Karyawan,15,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1234,CG,28,56,SMP,SMA,Karyawan Toko,PNS,11,2,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai
1235,CG,46,45,SD,SMP,t.a,Tukang Batu,3,0,Meninggalkan Salah Satu Pihak,Cerai
1236,CT,45,38,S1,S1,Honorer,Honorer,16,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1237,CT,38,33,SMP,SMA,Supir,t.a,18,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1238,CG,24,29,SMA,SD,Karyawan,t.a,3,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1239,CG,29,33,SMA,S1,t.a,Pelaut,7,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1240,CG,33,33,SMP,SMP,t.a,t.a,10,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1241,CG,32,36,SMP,SMP,t.a,t.a,5,0,Meninggalkan Salah Satu Pihak,Cerai
1242,CT,24,16,SD,SMP,Petani,t.a,1,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1243,CG,50,47,S1,S2,PNS,Polri,22,4,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1244,CG,48,48,SMA,SMA,t.a,PNS,29,4,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1245,CG,20,29,SMK,S1,t.a,t.a,1,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1246,CT,90,23,SMA,SMA,Karyawan PT,t.a,6,1,Meninggalkan Salah Satu Pihak,Cerai
1247,CT,34,32,SMU,SMU,Supir,t.a,7,0,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai
1248,CG,23,35,S1,S1,t.a,PNS DRPD,5,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1249,CG,27,36,SMP,SD,t.a,Buruh Harian,2,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1250,CT,27,23,S1,S1,Karyawan,t.a,4,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1251,CG,16,29,SD,SD,t.a,Petani,3,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1252,CT,40,28,SMA,S1,Peternak Sapi,Honorer,12,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1253,CG,20,25,SMA,SMK,t.a,Petani,2,1,Ekonomi,Cerai
1254,CG,19,25,SD,SMA,t.a,Petani,4,1,KDRT,Cerai
1255,CT,42,38,SD,SD,Petani,t.a,15,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1256,CG,25,30,SD,SMP,t.a,Buruh Harian,3,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1257,CG,25,31,SMA,SMA,t.a,Security,5,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1258,CG,39,40,S1,S2,PNS,PNS,11,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1259,CT,36,35,SMU,SMU,Kontraktor,t.a,13,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1260,CG,40,42,SMA,SD,t.a,Supir,19,2,KDRT,Cerai
1261,CT,45,38,SMA,SMA,Tukang Batu,t.a,14,3,Meninggalkan Salah Satu Pihak,Cerai
1262,CT,25,26,SMA,D3,Karyawan PT,Honorer,4,1,Ekonomi,Cerai
1263,CG,24,25,S1,SMA,Honorer,t.a,7,1,Ekonomi,Cerai
1264,CG,22,24,SMA,S1,t.a,Honorer,4,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1265,CG,42,40,SMA,SMA,t.a,t.a,5,0,Ekonomi,Cerai
1266,CT,41,39,SMA,SMK,Karyawan PT,t.a,17,3,Meninggalkan Salah Satu Pihak,Cerai
1267,CG,31,33,SMA,SMA,Pemilik Toko,Penjual Bahan Bangunan,12,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1268,CG,24,34,SMP,SD,t.a,Penjual Barang Campuran,6,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1269,CT,41,38,SMP,SMA,TNI AD,t.a,16,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1270,CG,19,27,SD,SMP,t.a,Karyawan,3,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1271,CT,26,20,SD,SMP,Pemilik Kelompok Musik,t.a,5,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1272,CG,46,50,SMA,SD,t.a,Pemilik Bengkel Motor,25,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1273,CG,46,49,S1,S1,Pemilik Toko Electronik,Pemilik Toko Electronik,24,6,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai
1274,CT,40,41,S1,SMA,Jual Beli Hasil Bumi,t.a,17,3,Perselisihan Dan Pertengkaran Terus Menerus,Coret
1275,CG,23,23,SMA,SD,Karyawan CV,t.a,1,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1276,CT,32,27,SMA,SD,Honorer,t.a,11,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1277,CT,42,40,STM,SD,Karyawan PT,t.a,21,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1278,CG,23,27,SMA,D3,t.a,Karyawan,1 Bulan,0,Poligami,Cerai
1279,CG,20,27,SMP,SD,t.a,Petani,3,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1280,CG,36,43,D2,SMA,t.a,t.a,11,4,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai
1281,CT,25,23,MAN,SD,Petani,Karyawan PT,5,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1282,CG,23,31,S1,SMP,Penjual Pakaian,Pemilik Kereta Mainan,5,0,Meninggalkan Salah Satu Pihak,Cerai
1283,CG,39,47,SMA,S1,t.a,Honorer,21,5,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1284,CT,50,45,t.a,t.,t.a,t.a,25,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1285,CT,46,47,SD,SD,Penjual Ayam Potong,t.a,27,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1286,CG,38,38,SD,SD,t.a,Petani,19,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1287,CG,36,37,S1,SMA,Honorer,Karyawan PT,10,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1288,CG,25,31,SMA,SD,Karyawan,Supir,1 Bulan,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1289,CT,30,31,S1,SMA,Karyawan PT,t.a,2,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1290,CG,27,32,SD,SD,t.a,t.a,9,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1291,CG,27,26,SMA,SD,Karyawan PT,Petani,2,0,Kawin Paksa,Cerai
1292,CG,31,37,SMA,SMP,t.a,Tukang Ojek,2005,1,KDRT,Cerai
1293,CT,59,48,SD,SD,Petani,t.a,,,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1294,CG,27,36,SD,SMP,t.a,Tukang Kayu,6,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1295,CG,22,37,SMA,SMA,t.a,t.a,4,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1296,CG,37,23,Sd,SD,t.a,t.a,19,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1297,CG,28,29,SMA,SMA,Karyawan PT,Petani,9,1,Meninggalkan Salah Satu Pihak,Cerai
1298,CG,31,31,S1,SMU,Pengusaha Kredit,TNI,3,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1299,CG,21,25,SMA,SMA,t.a,t.a,2,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1300,CG,31,33,SMP,SMA,Karyawan PT,Buruh Harian,7,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1301,CT,41,39,SMP,SMA,Supir,t.a,20,4,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1302,CG,21,33,SD,SMA,Karyawan,t.a,4,0,Kawin Paksa,Cerai
1303,CG,40,39,SMA,SD,Penjual di Kantin,Petani,5,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1304,CG,30,35,SMK,SMA,Karyawan PT,Honorer,8,2,Ekonomi,Cerai
1305,CG,26,29,SMA,SMA,Penjual Emas,t.a,7,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1306,CG,23,26,SMA,SMA,t.a,Supir,5,3,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1307,CG,24,32,SMP,SD,Karyawan PT,Nelayan,4,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1308,CG,23,24,SMA,SMA,Karyawan,Karyawan,2,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1309,CG,43,37,SMA,SMA,Penjual Barang Campuran,t.a,5,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1310,CG,34,35,SMA,SD,Penjual Makanan,Supir,15,1,Poligami,Cerai
1311,CG,25,30,SD,SMP,Karyawan,t.a,8,2,Ekonomi,Cerai
1312,CG,63,61,SMA,SMP,Pensiunan,Penjual Pakaian,29,1,Perselisihan Dan Pertengkaran Terus Menerus,Tidak Cerai
1313,CG,38,36,SD,SMU,t.a,t.a,5,0,Meninggalkan Salah Satu Pihak,Cerai
1314,CT,53,31,SD,SD,Petani,t.a,10,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1315,CG,28,51,D3,S1,t.a,PNS,3,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1316,CG,35,38,SMU,SMU,Penjahit,Pedagang,11,0,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1317,CG,26,27,t.a,t.a,t.a,Wiraswasta,4,1,,Tidak Cerai
1318,CT,32,32,SMA,SMA,Karyawan PT,t.a,9,2,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
1319,CG,31,33,SMP,SD,t.a,Petani,11,1,Perselisihan Dan Pertengkaran Terus Menerus,Cerai
